enemy_id,english_name,jp_name,regions,location_count,region_count,common_drop,common_rate,rare_drop,rare_rate,special_drop,special_rate
1,,Unknown (1),Nameless Coast,1,1,,,,,,
B001,Gargantula,グルガンチュラ,Eroded Valley; Former Sanctuary Crypt - B3,1,2,,,,,,
B002,Laspisus,ラスピスース,Schlamm Jungle,1,1,,,,,,
B003,Giasburn,ギアスバーン,Mont Gendarme (Night),1,1,,,,,,
B005,Basileus,バシレウス,Temple of the Great Tree; Valley of Kings,2,2,,,,,,
B006,Brachion,ブラキオン,Former Sanctuary Crypt - B4; Temple of the Great Tree,2,2,,,,,,
B007,Oceanus,オケアノス,Archeozoic Chasm,1,1,,,,,,
B008,Psyche-Ura,アニムス・ウーラ,Octus Overlook,1,1,,,,,,
B011,Le-Kyanos,レ・キュアノス,Royal Capital Aegias (Past); Temple of the Great Tree,2,2,,,,,,
B012,Le-Erythros,レ・エリュトロン,Temple of the Great Tree,1,1,,,,,,
B030,Io,“イオ”,Sanctuary Crypt - Chamber of the Final Trial (Past),1,1,,,,,,
B100,Serpentus,セルペンタス,Towering Coral Forest (Night),1,1,,,,,,
B102,Magamandra,マガマンドラ,Schlamm Jungle,1,1,,,,,,
B103,Pirate Revenant,ピラティスアニマ,Former Sanctuary Crypt - B5; Pirate Ship Eleftheria,2,2,,,,,,
B104,Exmetal,エクスメーテル,Baja Tower,1,1,,,,,,
B105,Doxa Griel,ドクサ・グリエル,Former Sanctuary Crypt - B2; Valley of Kings,2,2,,,,,,
B106,Coelacantos,シエラカントゥス,Archeozoic Chasm,1,1,,,,,,
B150,Avalodragil,アヴァロドラギル,Nameless Coast,1,1,,,,,,
B151,Master Kong,マスターコング,Mont Gendarme (Night); Odd Rock Coast; Pangaia Plains (Night); Roaring Seashore; Sunrise Beach; Temple of the Great Tree; Vista Ridge (Past); Waterdrop Cave,7,8,,,,,,
B153,Mephorash,メフォラシュム,Silent Tower,1,1,,,,,,
B154,Avalodragil,アヴァロドラギル,Mont Gendarme (Night),1,1,,,,,,
B161,Grazios,グラジオス,Former Sanctuary Crypt - B1; Sanctuary Crypt - Chamber of Braziers (Past),1,2,,,,,,
B162,Nebritia,ネブリティア,Sanctuary Crypt - Chamber of Stone (Past),1,1,,,,,,
B163,Argura,アーギュラ,Sanctuary Crypt - Chamber of Clairvoyance (Past),1,1,,,,,,
B164,Crusos,クリューソス,Sanctuary Crypt - Chamber of Frost (Past),1,1,,,,,,
B165,Blasphima,ブラスフィマ,Sanctuary Crypt - Chamber of Magma (Past),1,1,,,,,,
B170,Melaiduma,メライドゥマ,Former Sanctuary Crypt - Final Floor,1,1,,,,,,
M0100,Ratni,ラタニー,Former Sanctuary Crypt - B3; Pangaia Plains (Night); Royal Capital Aegias (Past); Temple of the Great Tree,6,4,Sturdy Bone,80.0%,Beast Hide,5.0%,,
M0101,Rikad,リカード,Great River Valley; Nameless Coast,2,2,Light Bone,80.0%,Sturdy Bone,5.0%,Strong Shell,1.0%
M0102,Maltu,マルトゥ,Nameless Coast,2,1,Murky Mucus,80.0%,Strange Mass,5.0%,,
M0103,Sangator,サンディール,Great River Valley,1,1,Thin Hide,80.0%,Sterile Mucus,5.0%,,
M0104,Vastera,ヴェアスデーラ,Nameless Coast,2,1,Murky Mucus,80.0%,Sterile Mucus,15.0%,Soft Fiber,5.0%
M0105,Lugaes,ルシーガ,Roaring Seashore,2,1,Thin Hide,80.0%,Thick Hide,5.0%,Remex,1.0%
M0106,Wollof,ヴォルロフ,Nameless Coast; Western Foot of Gendarme,4,2,Thin Hide,80.0%,Sturdy Bone,15.0%,Soft Fiber,5.0%
M0107,Raemitt,レーミット,Nameless Coast,4,1,Thin Hide,80.0%,Light Bone,5.0%,,
M0108,Molvie,モルヴィ,Nameless Coast,5,1,Light Bone,80.0%,Strange Mass,5.0%,,
M0109,Buar,ブアル,Nameless Coast; Waterdrop Cave,3,2,Thin Hide,80.0%,Light Bone,5.0%,Thick Hide,1.0%
M0110,Anapushi,アナプシー,Nameless Coast; Waterdrop Cave,5,2,Murky Mucus,80.0%,Strange Mass,5.0%,Sterile Mucus,1.0%
M0111,Byfteriza,ビフテリザ,Waterdrop Cave,1,1,,,,,,
M0112,Ripseus,リプシオス,Nameless Coast,1,1,Light Bone,80.0%,Murky Mucus,5.0%,,
M0113,Worgle,ワーグル,Nameless Coast,3,1,Light Bone,80.0%,Thin Hide,5.0%,Soft Fiber,1.0%
M0120,Repleon,レプレオン,Towering Coral Forest (Night),6,1,Light Bone,80.0%,Thick Hide,5.0%,,
M0121,Targanean,ターガニオン,Towering Coral Forest (Night),6,1,Light Bone,80.0%,Sturdy Bone,5.0%,,
M0122,Pinha,ピーニャ,Towering Coral Forest (Night),2,1,Thin Hide,80.0%,Sterile Mucus,5.0%,,
M0123,Gwaranga,グワラニーガ,Great River Valley; Towering Coral Forest (Night); White Sand Cape,7,3,Sturdy Bone,80.0%,Strong Shell,15.0%,Gwaranga Pincer,5.0%
M0124,Larfo,ラルフォ,Towering Coral Forest (Night),2,1,Flexible Branch,80.0%,Sturdy Lumber,5.0%,Digitalis Leaf,1.0%
M0140,Seapus,シーピス,White Sand Cape,4,1,Light Bone,80.0%,Sterile Mucus,5.0%,,
M0141,Organean,オーガニオン,White Sand Cape,4,1,Light Bone,80.0%,Sturdy Bone,1.0%,,
M0142,Sabrodo,セイバオット,Towering Coral Forest (Night); White Sand Cape,8,2,Thin Hide,80.0%,Thick Hide,15.0%,Beast Claw,5.0%
M0143,Pewd,ピュード,Roaring Seashore; Towering Coral Forest (Night),5,2,Small Leaf,80.0%,Beautiful Flower,15.0%,,
M0144,Grimodo,グレモアード,Roaring Seashore,1,1,Thin Hide,80.0%,Thick Hide,15.0%,,
M0145,Splart,スプラート,Great River Valley,5,1,Thin Hide,80.0%,Sterile Mucus,5.0%,Remex,1.0%
M0146,Spoun,スポゥン,Great River Valley,4,1,Sturdy Lumber,80.0%,Beautiful Flower,20.0%,Digitalis Leaf,10.0%
M0147,Gwarrab,グワララーブ,Longhorn Coast; Longuefone Beach; Towering Coral Forest (Night),7,3,Sturdy Bone,80.0%,Strong Shell,15.0%,Accursed Shell,5.0%
M0148,Gulugaes,グレルシーガ,Longhorn Coast; Longuefone Beach,2,2,Thin Hide,80.0%,Thick Hide,5.0%,Remex,1.0%
M0149,Moreel,モライール,Nostalgia Cape,1,1,Beast Hide,80.0%,Sparkling Mucus,5.0%,Ancient Mucus,1.0%
M0150,Pervastera,パルヴェスデーラ,Nostalgia Cape,1,1,Sparkling Mucus,80.0%,Hard Fiber,20.0%,Ancient Hide,10.0%
M0151,Orclash,オケラーシュ,White Sand Cape,1,1,Sterile Mucus,80.0%,Beast Hide,15.0%,Lustrous Scale,5.0%
M0200,Doona,ドゥーナ,Great River Valley; Nameless Coast,6,2,Thin Hide,80.0%,Sturdy Bone,5.0%,,
M0201,Lanonen,ラーノーネン,Nameless Coast,2,1,Small Leaf,80.0%,Sterile Mucus,5.0%,,
M0202,Valquito,ヴァルキート,Lodinia Marshland (Past); Schlamm Jungle,5,2,Remex,80.0%,Razor Feather,15.0%,Blue Feather,5.0%
M0203,Buldebeet,ブルトビトゥ,Beast Hills,2,1,Thick Hide,80.0%,Soft Fiber,15.0%,Sword Tip Fang,1.0%
